"Algeria"	"34"
"Argentina"	"194"
"Australia"	"263"
"Belgium"	"202"
"Bolivia"	"280"
"Canada"	"38"
"Chile"	"848"
"China"	"636"
"France"	"176"
"India"	"357"
"Japan"	"505"
"Malta"	"228"
"Mexico"	"1001"
"New Zealand"	"1387"
"Nigeria"	"550"
"Pakistan"	"87"
"Singapore"	"370"
"Spain"	"156"
"United Kingdom"	"404"
"United States of America"	"657"
"Zimbabwe"	"119"
