                     <img src=""https://r-scale-3a.dcs.redcdn.pl/scale/o2/tvn/web-content/m/p2/i/acab0116c354964a558e65bdd07ff047/4f394fc7-7f62-4d39-8b36-59ba836d0a83.jpg?type=1&" "38;srcmode=4&" "38;srcx=0/1&" "38;srcy=0/1&" "38;srcw=50&" "38;srch=50&" "38;dstw=50&" "38;dsth=50&" "38;quality=80"" align=""right"" />                    W sobotę na Torze Żerań miała odbyć się impreza. Została odwołana. Kilka dni przed zawodami wjechały tam buldożery. Teren został zrównany z ziemią. 
                    
                "
"pl_POL_tvn24_int" "2017-05-20 13:00:00" "W opuszczonej kopalni znaleziono zwłoki dwóch mężczyzn. Szukano ich od piątku" "
                    
                     <img src=""https://r-scale-7b.dcs.redcdn.pl/scale/o2/tvn/web-content/m/p1/i/acab0116c354964a558e65bdd07ff047/c47d80fc-9946-42c9-89a4-07dde9b0c9e1.jpg?type=1&" "38;srcmode=4&" "38;srcx=0/1&" "38;srcy=0/1&" "38;srcw=50&" "38;srch=50&" "38;dstw=50&" "38;dsth=50&" "38;quality=80"" align=""right"" />                    Tragicznie zakończyły się poszukiwania dwóch mężczyzn, którzy wybrali się na wycieczkę rowerową w okolicach Nowych Czapli (woj. lubuskie). W opuszczonej kopalni na głębokości 50 metrów odnaleziono ich ciała.
                    
                "
"pl_POL_tvn24_int" "2017-05-18 10:30:42" "Wyłowili ciało z rzeki. To Armin, maturzysta, który przepadł po imprezie pożegnalnej" "
                    
                     <img src=""https://r-scale-b4.dcs.redcdn.pl/scale/o2/tvn/web-content/m/p1/i/acab0116c354964a558e65bdd07ff047/9d7e38f3-f8b7-4970-83a1-078e52410cac.jpg?type=1&" "38;srcmode=4&" "38;srcx=0/1&" "38;srcy=0/1&" "38;srcw=50&" "38;srch=50&" "38;dstw=50&" "38;dsth=50&" "38;quality=80"" align=""right"" />                    Jeszcze we wtorek ojciec Armina publicznie dziękował straży, policji i innym osobom za uczestnictwo w poszukiwaniu jego syna. W środę po południu z rzeki wyłowiono zwłoki, w pobliżu miejsca, gdzie kilka tygodni temu zaginionego chłopaka zarejestrowała kamera monitoringu. To on.
                    
                "
"pl_POL_tvn24_int" "2017-05-11 23:00:00" "Akcja ""Każdy zwierz ma swój Czubaszek"" nagrodzona" "
                    
                     <img src=""https://r-scale-80.dcs.redcdn.pl/scale/o2/tvn/web-content/m/p1/i/f3144cefe89a60d6a1afaf7859c5076b/d831ab10-7bce-48bf-9f25-5d525d42e1bf.png?type=1&" "38;srcmode=4&" "38;srcx=0/1&" "38;srcy=0/1&" "38;srcw=50&" "38;srch=50&" "38;dstw=50&" "38;dsth=50&" "38;quality=80"" align=""right"" />                    Bardzo nam miło, że akcja"" Każdy zwierz ma swój Czubaszek"" została doceniona, najważniejsze, że państwo biorą w niej udział i porzucone zwierzaki znajdują nowe domy.
                    
                "
