"pl_POL_wp_int" "2017-05-22 08:46:00" "Petru i Schmidt razem na okładce. Lubnauer atakuje: to fotomontaż" "<img src=""https://i.wpimg.pl/O/308x180/d.wpimg.pl/910996656-1588546685/petru-schmidt.jpg"" width=""308"" /> Ryszard Petru i Joanna Schmidt pojawili się razem na najnowszej okładce tygodnika &" "34;Wprost&" "34;. Ale czy to zdjęcie jest prawdziwe? Inne zdanie ma..."
"pl_POL_wp_int" "2017-05-22 08:30:00" "Dziś Dzień Praw Zwierząt. Wyślij nam zdjęcie swojego pupila, a my pokażemy je w telewizji! " "<img src=""https://i.wpimg.pl/O/308x180/d.wpimg.pl/2105945508-509934942/spolecznosc.jpg"" width=""308"" /> 22 maja w Polsce, po raz dwudziesty, obchodzimy Dzień Praw Zwierząt. Z tej okazji zachęcamy Was do wysyłania zdjęć swoich ukochanych pupili...."
"pl_POL_wp_int" "2017-05-22 08:14:00" "Lech Wałęsa godnie powitany na festiwalu w Cannes. Internauci dostrzegają różnicę" "<img src=""https://i.wpimg.pl/O/308x180/d.wpimg.pl/1645013514-2145570836/walesa-lech.jpg"" width=""308"" /> Projekcja filmu &" "34;Człowiek z Żelaza&" "34; Andrzeja Wajdy była jednym z polskich akcentów podczas tegorocznego Międzynarodowego Festiwalu Filmowego w..."
"pl_POL_wp_int" "2017-05-22 08:00:00" "Wacław Berczyński o swoim wyznaniu ws. caracali: to był błąd" "<img src=""https://i.wpimg.pl/O/308x180/d.wpimg.pl/743181018--254513547/berczynski.jpg"" width=""308"" /> Po kilku tygodniach od udzielenia pamiętnego wywiadu, w którym przyznał, że &" "34;wykończył caracale&" "34;, Wacław Berczyński wyjaśnia, co miał na myśli..."
"pl_POL_wp_int" "2017-05-22 07:47:00" "Nie potwierdzili teorii o zamachu w Smoleńsku. Antoni Macierewicz wyciągnął konsekwencje" "<img src=""https://i.wpimg.pl/O/308x180/d.wpimg.pl/1395939524--476342715/macierewicz.jpg"" width=""308"" /> Prokuratorzy, którzy nie chcieli przyjąć wersji zamachu w Smoleńsku, najpierw zostali odsunięci od śledztwa, później byli przenoszeni do jednostek..."
"pl_POL_wp_int" "2017-05-22 07:34:00" "Oto sejmowi lenie. Nie zabrali jeszcze głosu, a biorą wielkie pieniądze" "<img src=""https://i.wpimg.pl/O/308x180/d.wpimg.pl/405348962--1930225537/sejm.jpg"" width=""308"" /> Bożenna Bukiewicz, Tomasz Kucharski i Leonard Krasulski - to nazwiska najmniej aktywnych posłów. Nie zabierają w parlamencie głosu i unikają też..."
"pl_POL_wp_int" "2017-05-22 07:02:00" "Misiewicz szczerze o odejściu z PiS. ""Nie mam żalu do Kaczyńskiego""" "<img src=""https://i.wpimg.pl/O/308x180/d.wpimg.pl/748873819--1028810997/misiewicz.jpg"" width=""308"" /> Bartłomiej Misiewicz opuścił PiS, ale pozostaje wierny swojej partii. Przyznaje, że nie ma żalu do prezesa Jarosława Kaczyńskiego za jego..."
"pl_POL_wp_int" "2017-05-22 06:56:00" """Nie mam absolutnie żadnych wątpliwości - to były TORTURY"". RPO o sprawie Stachowiaka" "<img src=""https://i.wpimg.pl/O/308x180/d.wpimg.pl/1815544408-1559764985/spolecznosc.jpg"" width=""308"" /> Rzecznik Praw Obywatelskich zabrał głos w sprawie śmierci 25-letniego Igora Stachowiaka. &" "34;Chciałbym podkreślić z całą mocą, że ta sprawa to jest..."
"pl_POL_wp_int" "2017-05-22 06:54:00" "Jarosław Kaczyński o relokacji uchodźców: nie możemy w to wchodzić" "<img src=""https://i.wpimg.pl/O/308x180/d.wpimg.pl/297841244--727079889/kaczynski.jpg"" width=""308"" /> Prezes PiS Jarosław Kaczyński zdecydowanie sprzeciwia się przyjmowaniu imigrantów. Jego zdaniem może to prowadzić do katastrof społecznych."
"pl_POL_wp_int" "2017-05-22 05:40:00" "Rzecznik KGP: nie jest określone, ile razy można użyć paralizatora" "<img src=""https://i.wpimg.pl/O/308x180/d.wpimg.pl/555208039--210764328/policja.jpg"" width=""308"" /> Nie jest określone, ile razy można użyć paralizatora - powiedział rzecznik Komendanta Głównego Policji Mariusz Ciarka, odnosząc się do śmierci..."
"pl_POL_wp_int" "2017-05-22 05:29:00" "Trump nominował ambasadora USA w Watykanie" "<img src=""https://i.wpimg.pl/O/308x180/d.wpimg.pl/1933213762--475102868/donald-trump.jpg"" width=""308"" /> Prezydent USA Donald Trump nominował Callistę Gingrich na ambasadora Stanów Zjednoczonych w Watykanie - poinformował Biały Dom. Kandydatura musi..."
"pl_POL_wp_int" "2017-05-22 04:39:00" "Szydło szerzy mowę nienawiści? Jest doniesienie do prokuratury" "<img src=""https://i.wpimg.pl/O/308x180/d.wpimg.pl/2011283548-1697267893/beata-szydlo.jpg"" width=""308"" /> Krakowianka złożyła zawiadomienie do prokuratury o możliwości popełnienia przestępstwa przez Beatę Szydło. Zdaniem Izabeli Suder premier znieważyła..."
"pl_POL_wp_int" "2017-05-22 00:24:00" "Rząd broni węgla w zgodzie z doktryną UE" "<img src=""https://i.wpimg.pl/O/308x180/d.wpimg.pl/1363243824-338036052/elektrownia-ostroleka.jpeg"" width=""308"" /> Minister energii chce wypracowania nowego modelu wsparcia dla elektrociepłowni. Mimo że będą oparte głównie na węglu, smog ma być mniejszy -..."
"pl_POL_wp_int" "2017-05-21 23:02:00" "Włochy mają nowy plan, by powstrzymać napływ imigrantów" "<img src=""https://i.wpimg.pl/O/308x180/d.wpimg.pl/697284452-247168400/imigranci.jpg"" width=""308"" /> Ośrodki dla migrantów, spełniające międzynarodowe standardy humanitarne, powstaną w Czadzie i Nigrze, czyli krajach tranzytowych dla setek tysięcy..."
"pl_POL_wp_int" "2017-05-21 22:50:00" "Antoni Macierewicz odwiedził żołnierza poszkodowanego na poligonie" "<img src=""https://i.wpimg.pl/O/308x180/d.wpimg.pl/149352078-587658417/antoni-macierewicz.jpg"" width=""308"" /> Minister obrony Antoni Macierewicz odwiedził w niedzielę w rzeszowskim szpitalu żołnierza, który został poszkodowany podczas ćwiczeń na poligonie -..."
"pl_POL_wp_int" "2017-05-21 21:05:00" "TVP przypomina afery policyjne z czasów PO" "<img src=""https://i.wpimg.pl/O/308x180/d.wpimg.pl/1552193764--470067832/tvp.jpg"" width=""308"" /> Sprawa niewyjaśnionej śmierci Igora Stachowiaka na wrocławskim komisariacie to okazja do kolejnych politycznych i medialnych rozrachunków. W..."
"pl_POL_wp_int" "2017-05-21 20:55:00" "Gdyby tylko pani Premier to widziała. Działacze KOD weszli do jej biura i zrobili sobie wymowne zdjęcie" "<img src=""https://i.wpimg.pl/O/308x180/d.wpimg.pl/2126262016-855926842/kod.jpg"" width=""308"" /> W trakcie sobotniej Nocy Muzeów można było wejść i zwiedzić kancelarię Prezesa Rady Ministrów. Z okazji skorzystali działacze KOD, którzy przyszli..."
"pl_POL_wp_int" "2017-05-21 19:34:00" "Wielki powrót prowadzącego ""Studio YaYo"". Ostre słowa satyryka o bojkocie Opola" "<img src=""https://i.wpimg.pl/O/308x180/d.wpimg.pl/1454566107-1984950291/studi-yayo.jpg"" width=""308"" /> Masowy bojkot artystów festiwalu w Opolu nie wszystkim przypadł do gustu. Satyryk Ryszard Makowski twierdzi wręcz, że &" "34;to nie są przypadkowe..."
"pl_POL_wp_int" "2017-05-21 19:20:00" "Znaleziono zwłoki mężczyzny z postrzeloną głową. Tajemnicza śmierć przy stawach" "<img src=""https://i.wpimg.pl/O/308x180/d.wpimg.pl/1171967811--131034866/policja-tasma-tasma.jpeg"" width=""308"" /> W Falentach koło Raszyna policjanci odnaleźli zwłoki mężczyzny. Według nieoficjalnych informacji ma on ranę postrzałową głowy. Na miejscu pracuje..."
"pl_POL_wp_int" "2017-05-21 19:02:00" "Wynieśli kartony pełne słodyczy. Słodka kradzież skończy się słoną karą" "<img src=""https://i.wpimg.pl/O/308x180/d.wpimg.pl/1545778791--1802648871/slodycze-czekoladki.jpg"" width=""308"" /> Policjanci zatrzymali dwóch 19-latków, którzy ukradli słodycze z jednego ze sklepów samoobsługowych w Elblągu. Słodycze, a właściwie kartony ze..."
